,Version,Test,Dataset,Variable,Response Time (s)
40,3.10.5,area,riops_fc_3dps,magwatervel,8.247
41,3.10.5,subset,giops_day,votemper,0.8381
42,3.10.5,subset,riops_fc_3dps,votemper,1.9926
0,3.10.5,profile,giops_day,votemper,1.6707
1,3.10.5,profile,giops_day,vosaline,1.6658
2,3.10.5,profile,giops_day,sspeed,1.782
3,3.10.5,profile,giops_day,magwatervel,1.9164
4,3.10.5,profile,riops_fc_3dps,votemper,2.5139
5,3.10.5,profile,riops_fc_3dps,vosaline,2.4964
6,3.10.5,profile,riops_fc_3dps,sspeed,3.0621
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.3566
8,3.10.5,virtual mooring,giops_day,votemper,1.6246
9,3.10.5,virtual mooring,giops_day,vosaline,1.6685
10,3.10.5,virtual mooring,giops_day,sspeed,2.1928
11,3.10.5,virtual mooring,giops_day,magwatervel,3.0583
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.4761
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.6463
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,7.8263
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.0785
16,3.10.5,transect,giops_day,votemper,8.8044
17,3.10.5,transect,giops_day,vosaline,8.1784
18,3.10.5,transect,giops_day,sspeed,9.046
19,3.10.5,transect,giops_day,magwatervel,8.6237
20,3.10.5,transect,riops_fc_3dps,votemper,10.0386
21,3.10.5,transect,riops_fc_3dps,vosaline,10.386
22,3.10.5,transect,riops_fc_3dps,sspeed,14.371
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.4624
24,3.10.5,hovmoller,giops_day,votemper,6.5043
25,3.10.5,hovmoller,giops_day,vosaline,6.1485
26,3.10.5,hovmoller,giops_day,sspeed,6.9731
27,3.10.5,hovmoller,giops_day,magwatervel,7.2355
28,3.10.5,hovmoller,riops_fc_3dps,votemper,9.8662
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,11.0897
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.4026
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,16.3761
32,3.10.5,area,giops_day,votemper,4.2611
33,3.10.5,area,giops_day,vosaline,4.4358
34,3.10.5,area,giops_day,sspeed,4.7423
35,3.10.5,area,giops_day,magwatervel,4.1169
37,3.10.5,area,riops_fc_3dps,votemper,7.8758
38,3.10.5,area,riops_fc_3dps,vosaline,8.0782
39,3.10.5,area,riops_fc_3dps,sspeed,8.5435
40,3.10.5,area,riops_fc_3dps,magwatervel,7.4173
41,3.10.5,subset,giops_day,votemper,0.6674
42,3.10.5,subset,riops_fc_3dps,votemper,2.12
0,3.10.5,profile,giops_day,votemper,1.6801
1,3.10.5,profile,giops_day,vosaline,1.6803
2,3.10.5,profile,giops_day,sspeed,1.8917
3,3.10.5,profile,giops_day,magwatervel,2.0591
4,3.10.5,profile,riops_fc_3dps,votemper,2.8884
5,3.10.5,profile,riops_fc_3dps,vosaline,2.5651
6,3.10.5,profile,riops_fc_3dps,sspeed,3.2801
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.671
8,3.10.5,virtual mooring,giops_day,votemper,1.6702
9,3.10.5,virtual mooring,giops_day,vosaline,1.8176
10,3.10.5,virtual mooring,giops_day,sspeed,2.2006
11,3.10.5,virtual mooring,giops_day,magwatervel,3.1588
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.6898
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.5908
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.0758
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,12.2908
16,3.10.5,transect,giops_day,votemper,10.7497
17,3.10.5,transect,giops_day,vosaline,8.6221
18,3.10.5,transect,giops_day,sspeed,10.1717
19,3.10.5,transect,giops_day,magwatervel,9.9345
20,3.10.5,transect,riops_fc_3dps,votemper,10.7119
21,3.10.5,transect,riops_fc_3dps,vosaline,10.3533
